team,potencial_tatico,win_rate,points
ENGLAND,1.0,0.6,10.0
PORTUGAL,0.8686611463939964,0.6,9.0
FRANCE,0.8678894326900302,0.7142857142857143,16.0
NETHERLANDS,0.8453591345374851,0.6,11.0
SPAIN,0.8428472895661694,0.25,5.0
ARGENTINA,0.8179185005900482,0.5714285714285714,14.0
BRAZIL,0.7917469622009208,0.6,10.0
GERMANY,0.6292191024911777,0.3333333333333333,4.0
ECUADOR,0.5967839201943226,0.3333333333333333,4.0
JAPAN,0.5900028655179563,0.5,7.0
CAMEROON,0.536855056858559,0.3333333333333333,4.0
MOROCCO,0.5285815805371208,0.42857142857142855,11.0
CROATIA,0.5281141527331095,0.2857142857142857,10.0
URUGUAY,0.47248218653189156,0.3333333333333333,4.0
TUNISIA,0.4549099546018997,0.3333333333333333,4.0
SENEGAL,0.4429603916522897,0.5,6.0
AUSTRALIA,0.43478421239562315,0.5,6.0
GHANA,0.42335963843171787,0.3333333333333333,3.0
UNITED STATES,0.4187744259314541,0.25,5.0
MEXICO,0.41419814512835396,0.3333333333333333,4.0
BELGIUM,0.39834846519217687,0.3333333333333333,4.0
SAUDI ARABIA,0.3772016131097632,0.3333333333333333,3.0
KOREA REPUBLIC,0.36242883636202744,0.25,4.0
POLAND,0.3550738587915649,0.25,4.0
SWITZERLAND,0.3490775206165445,0.5,6.0
IRAN,0.3268946917124014,0.3333333333333333,3.0
SERBIA,0.28163323995492223,0.0,1.0
DENMARK,0.26516963113468606,0.0,1.0
CANADA,0.0837535316760715,0.0,0.0
WALES,0.07839921705364314,0.0,1.0
QATAR,0.01908246307853273,0.0,0.0
COSTA RICA,0.0,0.3333333333333333,3.0
